Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,TCS.NS,INFY.NS,HCLTECH.NS,ITC.NS,HINDUNILVR.NS,RELIANCE.NS,LT.NS,^NSEI
2023-01-02,770.9271850586,873.2850952148,568.7478637695,2877.7810058594,1368.0974121094,892.0668334961,274.9212951660,2397.1125488281,1170.4780273438,2011.2446289062,18197.4492187500
2023-01-03,775.9682006836,872.2206420898,568.9335937500,2921.8115234375,1366.7957763672,893.6973876953,273.4758300781,2381.7929687500,1161.9125976562,2010.7634277344,18232.5507812500
2023-01-04,762.0994873047,870.0433349609,562.2446289062,2924.7224121094,1341.8845214844,889.6209106445,270.0894470215,2376.2182617188,1144.4182128906,1993.0523681641,18042.9492187500
2023-01-05,757.2003784180,850.7380981445,562.1517944336,2921.5905761719,1324.2894287109,896.0574951172,275.4168395996,2420.8173828125,1142.3734130859,2009.2236328125,17992.1503906250
2023-01-06,754.6917114258,841.9805908203,558.0176391602,2833.7517089844,1300.3210449219,886.3596801758,276.7384033203,2414.0239257812,1152.7563476562,2008.4533691406,17859.4492187500
2023-01-09,756.1590576172,845.1255493164,564.5671997070,2929.3996582031,1332.5931396484,916.0966186523,279.2162780762,2458.6240234375,1179.9747314453,2042.2878417969,18101.1992187500
2023-01-10,742.3375854492,833.5133056641,552.9079589844,2899.7963867188,1319.3970947266,913.0070800781,275.3755798340,2477.1752929688,1162.5260009766,2027.8009033203,17914.1503906250
2023-01-11,753.0350341797,838.3033447266,554.3479614258,2937.1201171875,1320.7436523438,905.2404174805,274.0540466309,2429.7648925781,1147.8715820312,2045.8011474609,17895.6992187500
2023-01-12,757.0584716797,832.8359375000,552.6757202148,2942.1054687500,1329.1370849609,919.7012939453,272.4433593750,2426.7670898438,1123.0842285156,2078.9138183594,17858.1992187500
2023-01-13,757.6500854492,845.2222900391,557.5065917969,2977.5766601562,1349.8293457031,924.9791870117,271.5348205566,2458.5769042969,1121.2668457031,2072.8012695312,17956.5996093750
2023-01-16,750.3843994141,837.2873535156,560.2008056641,3008.7099609375,1369.4439697266,938.6246337891,272.7324829102,2433.3725585938,1110.5886230469,2057.2075195312,17894.8496093750
2023-01-17,761.5551147461,837.1905517578,550.8641357422,3048.7319335938,1382.0117187500,953.5147094727,274.4256896973,2499.3813476562,1126.3560791016,2130.2666015625,18053.3007812500
2023-01-18,774.9979248047,841.3999633789,549.4705810547,3059.2004394531,1387.3082275391,957.0333862305,276.4080200195,2516.8552246094,1124.4930419922,2181.6679687500,18165.3496093750
2023-01-19,778.2166137695,838.1582031250,547.9840698242,3043.9494628906,1381.4731445312,962.4456787109,274.3431396484,2482.7033691406,1123.2886962891,2188.0212402344,18107.8496093750
2023-01-20,786.1923828125,842.2224731445,550.1673583984,3034.9257812500,1369.4888916016,959.3281860352,276.3666687012,2388.0708007812,1109.9295654297,2165.7375488281,18027.6503906250
2023-01-23,791.9434204102,843.5288696289,557.8317871094,3081.6706542969,1389.6420898438,970.9320678711,278.9684753418,2432.7167968750,1104.3177490234,2149.9033203125,18118.5507812500
2023-01-24,802.5462036133,842.6095581055,552.1646728516,3100.9826660156,1393.1431884766,985.3505859375,279.9596862793,2436.5583496094,1097.7973632812,2124.8764648438,18118.3007812500
2023-01-25,780.3703613281,827.6588134766,528.3353271484,3095.0720214844,1385.1536865234,972.2744140625,280.2074584961,2457.0312500000,1082.6203613281,2093.3039550781,17891.9492187500
2023-01-27,764.8211669922,790.7901611328,501.6259155273,3078.1965332031,1363.7435302734,966.0827026367,285.7827148438,2447.4738769531,1062.0817871094,2079.0100097656,17604.3496093750
2023-01-30,764.0402221680,796.8864746094,500.0001220703,3098.5908203125,1381.3834228516,982.6661987305,284.7915039062,2406.2475585938,1072.2601318359,2033.8171386719,17648.9492187500
2023-01-31,758.9990234375,805.0151367188,514.2141723633,3030.9543457031,1376.8499755859,971.7982177734,291.0275268555,2414.3056640625,1069.5793457031,2044.8864746094,17662.1503906250
2023-02-01,770.3828735352,820.5464477539,489.9202270508,3075.7597656250,1392.4250488281,980.3712158203,298.5025024414,2411.9631347656,1063.2404785156,2065.2451171875,17616.3007812500
2023-02-02,758.9280395508,830.1748657227,490.6169738770,3122.7307128906,1421.7351074219,995.5260009766,312.7090454102,2468.7431640625,1057.3559570312,2064.6196289062,17610.4003906250
2023-02-03,785.1747436523,835.8842163086,505.5742797852,3142.4929199219,1435.7840576172,992.5383300781,314.4022521973,2481.7661132812,1058.2874755859,2085.4589843750,17854.0507812500
2023-02-06,781.8377075195,826.1105346680,506.6890869141,3122.3244628906,1409.2569580078,992.1484985352,316.6736755371,2471.3193359375,1050.3127441406,2075.4001464844,17764.5996093750
2023-02-07,782.9973144531,825.1912841797,508.2683715820,3133.6953125000,1402.5692138672,977.0372924805,308.2901611328,2437.2143554688,1047.7908935547,2084.2556152344,17721.5000000000
2023-02-08,782.9026489258,831.3360595703,510.7303161621,3176.6047363281,1427.7944335938,991.5424804688,310.1898193359,2419.9741210938,1068.7159423828,2051.0952148438,17871.6992187500
2023-02-09,781.2697143555,832.9811401367,511.7058715820,3195.3305664062,1451.5836181641,992.7115478516,309.1160583496,2423.6281738281,1070.5789794922,2067.0256347656,17893.4492187500
2023-02-10,784.3700561523,826.2557373047,513.7960815430,3192.3520507812,1443.9980468750,966.1260986328,306.7207946777,2415.0083007812,1061.7636718750,2082.8601074219,17856.5000000000
2023-02-13,784.9616699219,823.1591796875,499.3498229980,3142.5834960938,1407.1025390625,963.8312988281,309.0747375488,2418.2875976562,1055.7203369141,2120.8334960938,17770.9003906250
2023-02-14,792.2274169922,837.3356933594,502.4620361328,3158.5566406250,1430.2631835938,974.6126708984,319.1928405762,2416.9760742188,1080.5983886719,2109.6193847656,17929.8496093750
2023-02-15,790.6181640625,842.6579589844,503.7626342773,3177.1015625000,1433.6744384766,981.0642700195,320.8559570312,2387.7895507812,1105.0675048828,2093.6408691406,18015.8496093750
2023-02-16,787.7545166016,841.3516235352,501.7652282715,3210.8518066406,1437.9385986328,976.9507446289,321.1497192383,2367.7856445312,1104.2042236328,2096.7690429688,18035.8496093750
2023-02-17,783.8021240234,834.7713623047,493.3111572266,3159.5039062500,1421.7799072266,960.8436889648,321.8633422852,2356.9167480469,1108.8162841797,2143.0209960938,17944.1992187500
2023-02-20,776.4415893555,824.5622558594,487.8763732910,3147.0058593750,1429.5449218750,966.1694335938,322.4089660645,2353.1220703125,1097.0930175781,2142.2026367188,17844.5996093750
2023-02-21,779.3526611328,826.5944213867,486.2970275879,3114.2475585938,1417.9197998047,957.0765380859,320.8979492188,2357.5261230469,1106.0445556641,2146.0048828125,17826.6992187500
2023-02-22,764.0637207031,812.1275634766,479.7009277344,3069.6232910156,1402.0303955078,946.1655883789,322.2410888672,2336.8193359375,1080.9617919922,2112.6037597656,17554.3007812500
2023-02-23,758.8807373047,812.6114501953,484.0209045410,3080.6779785156,1392.0659179688,947.6807861328,325.3891906738,2333.6333007812,1075.7817382812,2078.3359375000,17511.2500000000
2023-02-24,752.1119384766,812.5629882812,484.0673828125,3068.6303710938,1392.0211181641,948.1137084961,323.2904968262,2327.5903320312,1083.1429443359,2054.1752929688,17465.8007812500
2023-02-27,753.9816284180,828.7233276367,490.2454223633,3006.7246093750,1354.9013671875,938.6744995117,320.8559570312,2312.5517578125,1075.9407958984,2034.5869140625,17392.6992187500
2023-02-28,757.1530761719,827.2233276367,485.6931762695,2989.5786132812,1335.3762207031,933.1755981445,316.2386474609,2305.5249023438,1055.3566894531,2030.2076416016,17303.9492187500
2023-03-01,756.4194335938,828.6265869141,498.6065673828,3055.3200683594,1343.0067138672,953.5260620117,317.9176940918,2310.7717285156,1065.0581054688,2036.1273193359,17450.9003906250
2023-03-02,749.9819335938,826.4008178711,495.8659057617,2997.3395996094,1321.5516357422,957.7261352539,315.2732849121,2300.5590820312,1056.9470214844,2042.1914062500,17321.9003906250
2023-03-03,764.8685302734,840.4807128906,521.3676757812,3016.0197753906,1327.9700927734,969.0270996094,323.1645507812,2315.2221679688,1083.9154052734,2071.5017089844,17594.3496093750
2023-03-06,770.2645874023,839.7064819336,521.8321533203,3042.8210449219,1353.2404785156,975.6948852539,325.8509521484,2328.1992187500,1094.5028076172,2061.0095214844,17711.4492187500
2023-03-08,771.8029174805,843.9158935547,524.7121582031,3059.5607910156,1339.9992675781,970.4559936523,329.4187927246,2328.4333496094,1098.4334716797,2089.5498046875,17754.4003906250
2023-03-09,771.8739013672,828.2879638672,519.2308959961,3011.2370605469,1328.9576416016,966.9920654297,325.3052673340,2306.2270507812,1072.0329589844,2111.1115722656,17589.5996093750
2023-03-10,751.9699707031,815.4176635742,508.5006408691,3005.9575195312,1321.0128173828,966.6889648438,325.7250061035,2310.0219726562,1055.4248046875,2077.0844726562,17412.9003906250
2023-03-13,742.4559326172,801.6282348633,492.3821411133,2961.6940917969,1288.2915039062,951.3612060547,322.0732116699,2300.3247070312,1038.0670166016,2053.9831542969,17154.3007812500
2023-03-14,740.4678955078,803.5151977539,488.1086120605,2901.2321777344,1274.7362060547,938.7613525391,318.7571716309,2288.4719238281,1034.1820068359,2063.9458007812,17043.3007812500
2023-03-15,729.8413696289,799.2089843750,480.8157653809,2886.7478027344,1274.4221191406,934.9509887695,318.5053710938,2254.4135742188,1016.5057373047,2095.1809082031,16972.1503906250
2023-03-16,734.5747680664,797.2736816406,487.2725219727,2874.2043457031,1260.4627685547,928.6727294922,320.2262878418,2304.3068847656,1011.4392700195,2092.2451171875,16985.5996093750
2023-03-17,744.3966064453,809.2245483398,492.1962890625,2869.0605468750,1275.3648681641,959.8910522461,315.2732849121,2293.1098632812,1010.1670532227,2113.5659179688,17100.0507812500
2023-03-20,739.2371826172,809.4180908203,482.3486938477,2836.5732421875,1260.0589599609,944.6498413086,318.0016174316,2352.8876953125,1000.2385253906,2096.0473632812,16988.4003906250
2023-03-21,747.6152343750,824.8526611328,484.8106079102,2803.0036621094,1248.4337158203,938.6315307617,316.4485473633,2307.3522949219,1031.3417968750,2125.7905273438,17107.5000000000
2023-03-22,745.8876342773,832.4005126953,484.5318908691,2825.2934570312,1247.1319580078,936.5096435547,317.1201477051,2320.2353515625,1034.4771728516,2131.0847167969,17151.9003906250
2023-03-23,739.8998413086,827.8040161133,476.3564758301,2819.7431640625,1233.9357910156,923.0436401367,319.5547485352,2328.4333496094,1021.3905029297,2124.0578613281,17076.9003906250
2023-03-24,738.7164916992,824.8526611328,469.4817199707,2815.9987792969,1239.4118652344,910.7903442383,317.9176940918,2324.4042968750,1001.1699829102,2085.0737304688,16945.0507812500
