,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,TCS.NS,INFY.NS,HCLTECH.NS,ITC.NS,HINDUNILVR.NS,RELIANCE.NS,LT.NS
HDFCBANK.NS,0.00013679308668518647,5.986921258590273e-05,6.153948538913284e-05,2.0660799086572335e-05,3.354511050030896e-05,2.3621901063011832e-05,1.9452348880282644e-05,1.3122727594224291e-05,5.368990786850878e-05,5.9382820594936574e-05
ICICIBANK.NS,5.986921258590273e-05,0.00012369425694262246,7.33415625859977e-05,2.5297592625435096e-05,3.854957387777872e-05,2.769717141837458e-05,2.8216472717217237e-05,7.372296456352876e-06,5.366970397211181e-05,5.672015536141975e-05
SBIN.NS,6.153948538913284e-05,7.33415625859977e-05,0.0002181468446040877,3.1877160923075755e-05,3.4101477207066077e-05,3.764963762949129e-05,3.4179430775870635e-05,1.6490491660814103e-06,8.91243791807145e-05,9.891093419076331e-05
TCS.NS,2.0660799086572335e-05,2.5297592625435096e-05,3.1877160923075755e-05,0.0001538178049123233,0.0001299600846621777,0.0001168822307842471,2.3044487948516775e-05,2.5483593975114383e-05,4.3198686560334086e-05,4.6092850216273265e-05
INFY.NS,3.354511050030896e-05,3.854957387777872e-05,3.4101477207066077e-05,0.0001299600846621777,0.00022438838333393364,0.00014432628833432382,2.411823052636862e-05,3.221336664004232e-05,4.748778815373638e-05,5.186221722248748e-05
HCLTECH.NS,2.3621901063011832e-05,2.769717141837458e-05,3.764963762949129e-05,0.0001168822307842471,0.00014432628833432382,0.000207900044290933,2.8289141400144658e-05,3.174198540680235e-05,5.3539200638209196e-05,5.68480264796629e-05
ITC.NS,1.9452348880282644e-05,2.8216472717217237e-05,3.4179430775870635e-05,2.3044487948516775e-05,2.411823052636862e-05,2.8289141400144658e-05,0.00011812679050048934,4.742723592315113e-05,4.241107321614982e-05,3.3654709133059524e-05
HINDUNILVR.NS,1.3122727594224291e-05,7.372296456352876e-06,1.6490491660814103e-06,2.5483593975114383e-05,3.221336664004232e-05,3.174198540680235e-05,4.742723592315113e-05,0.00013513618865593482,2.40394006043014e-05,6.117084684137041e-06
RELIANCE.NS,5.368990786850878e-05,5.366970397211181e-05,8.91243791807145e-05,4.3198686560334086e-05,4.748778815373638e-05,5.3539200638209196e-05,4.241107321614982e-05,2.40394006043014e-05,0.0001592043692207225,8.205209597033345e-05
LT.NS,5.9382820594936574e-05,5.672015536141975e-05,9.891093419076331e-05,4.6092850216273265e-05,5.186221722248748e-05,5.68480264796629e-05,3.3654709133059524e-05,6.117084684137041e-06,8.205209597033345e-05,0.00021764830960771306
